conflict_begin;conflict_ego;conflict_end;conflict_foe;minTTC_position;minTTC_time;minTTC_type;minTTC_value;maxDRAC_position;maxDRAC_time;maxDRAC_type;maxDRAC_value
5356.00;18_2.49;5386.00;16_1.101;1183.09,1037.03;5358.00;3;2.30;;;;
5356.00;18_2.49;5386.00;16_1.101;;;;;1185.13,1034.36;5357.00;3;3.84
5365.00;18_2.53;5393.00;16_1.109;1175.14,1036.90;5366.00;3;3.17;;;;
5365.00;18_2.53;5393.00;16_1.109;;;;;1178.10,1033.02;5365.00;3;3.49
5365.00;16_1.109;5393.00;18_2.53;1175.14,1036.90;5366.00;2;3.17;;;;
5365.00;16_1.109;5393.00;18_2.53;;;;;1178.10,1033.02;5365.00;2;3.49
5363.00;18_2.46;5398.00;16_1.110;1176.30,1040.66;5366.00;3;2.76;;;;
5363.00;18_2.46;5398.00;16_1.110;;;;;1181.24,1034.18;5364.00;3;3.73
5363.00;16_1.110;5398.00;18_2.46;1176.30,1040.66;5366.00;2;2.76;;;;
5363.00;16_1.110;5398.00;18_2.46;;;;;1181.24,1034.18;5364.00;2;3.73
5377.00;18_2.54;5412.00;16_1.124;1184.34,1035.39;5379.00;3;1.88;;;;
5377.00;18_2.54;5412.00;16_1.124;;;;;1184.34,1035.39;5379.00;3;3.76
5377.00;16_1.124;5412.00;18_2.54;1184.34,1035.39;5379.00;2;1.88;;;;
5377.00;16_1.124;5412.00;18_2.54;;;;;1184.34,1035.39;5379.00;2;3.76
5423.00;18_2.69;5446.00;16_1.171;1176.36,1035.30;5423.00;3;3.80;;;;
5423.00;18_2.69;5446.00;16_1.171;;;;;1176.36,1035.30;5423.00;3;3.41
5423.00;16_1.171;5446.00;18_2.69;1176.36,1035.30;5423.00;2;3.80;;;;
5423.00;16_1.171;5446.00;18_2.69;;;;;1176.36,1035.30;5423.00;2;3.41
5426.00;18_2.64;5454.00;16_1.170;1185.17,1034.30;5427.00;3;2.67;;;;
5426.00;18_2.64;5454.00;16_1.170;;;;;1185.17,1034.30;5427.00;3;4.03
5426.00;16_1.170;5454.00;18_2.64;1185.17,1034.30;5427.00;2;2.67;;;;
5426.00;16_1.170;5454.00;18_2.64;;;;;1185.17,1034.30;5427.00;2;4.03
5457.00;18_2.67;5484.00;16_1.214;1184.51,1035.17;5458.00;3;2.98;;;;
5457.00;18_2.67;5484.00;16_1.214;;;;;1184.51,1035.17;5458.00;3;3.96
5457.00;16_1.214;5484.00;18_2.67;1184.51,1035.17;5458.00;2;2.98;;;;
5457.00;16_1.214;5484.00;18_2.67;;;;;1184.51,1035.17;5458.00;2;3.96
5521.00;18_2.84;5548.00;16_1.262;1182.54,1037.75;5523.00;3;2.98;;;;
5521.00;18_2.84;5548.00;16_1.262;;;;;1184.85,1034.72;5522.00;3;4.00
5526.00;18_2.80;5550.00;16_1.269;1177.31,1034.06;5527.00;3;3.27;;;;
5526.00;18_2.80;5550.00;16_1.269;;;;;1177.31,1034.06;5527.00;3;3.45
5521.00;16_1.262;5548.00;18_2.84;1182.54,1037.75;5523.00;2;2.98;;;;
5521.00;16_1.262;5548.00;18_2.84;;;;;1184.85,1034.72;5522.00;2;4.00
5526.00;16_1.269;5550.00;18_2.80;1177.31,1034.06;5527.00;2;3.27;;;;
5526.00;16_1.269;5550.00;18_2.80;;;;;1177.31,1034.06;5527.00;2;3.45
5550.00;18_2.87;5577.00;16_1.296;1180.18,1035.58;5550.00;3;3.50;;;;
5550.00;18_2.87;5577.00;16_1.296;;;;;1180.18,1035.58;5550.00;3;3.47
5550.00;16_1.296;5577.00;18_2.87;1180.18,1035.58;5550.00;2;3.50;;;;
5550.00;16_1.296;5577.00;18_2.87;;;;;1180.18,1035.58;5550.00;2;3.47
5565.00;16_1.308;5587.00;18_2.92;1183.47,1036.53;5566.00;2;2.99;;;;
5565.00;16_1.308;5587.00;18_2.92;;;;;1183.47,1036.53;5566.00;2;3.36
5565.00;18_2.92;5587.00;16_1.308;1183.47,1036.53;5566.00;3;2.99;;;;
5565.00;18_2.92;5587.00;16_1.308;;;;;1183.47,1036.53;5566.00;3;3.36
5581.00;18_2.93;5608.00;16_1.329;1181.76,1038.78;5583.00;3;3.10;;;;
5581.00;18_2.93;5608.00;16_1.329;;;;;1184.43,1035.28;5582.00;3;3.54
5581.00;16_1.329;5608.00;18_2.93;1181.76,1038.78;5583.00;2;3.10;;;;
5581.00;16_1.329;5608.00;18_2.93;;;;;1184.43,1035.28;5582.00;2;3.54
5627.00;18_2.100;5651.00;16_1.382;1177.33,1034.02;5627.00;3;3.49;;;;
5627.00;18_2.100;5651.00;16_1.382;;;;;1177.33,1034.02;5627.00;3;3.43
5627.00;16_1.382;5651.00;18_2.100;1177.33,1034.02;5627.00;2;3.49;;;;
5627.00;16_1.382;5651.00;18_2.100;;;;;1177.33,1034.02;5627.00;2;3.43
5635.00;18_2.110;5663.00;16_1.377;1180.90,1034.63;5637.00;3;2.53;;;;
5635.00;18_2.110;5663.00;16_1.377;;;;;1182.57,1032.43;5636.00;3;3.67
5637.00;18_2.111;5664.00;16_1.376;1182.21,1038.18;5638.00;3;3.61;;;;
5637.00;18_2.111;5664.00;16_1.376;;;;;1184.85,1034.73;5637.00;3;3.49
5635.00;16_1.377;5663.00;18_2.110;1180.90,1034.63;5637.00;2;2.53;;;;
5635.00;16_1.377;5663.00;18_2.110;;;;;1182.57,1032.43;5636.00;2;3.67
5637.00;16_1.376;5664.00;18_2.111;1182.21,1038.18;5638.00;2;3.61;;;;
5637.00;16_1.376;5664.00;18_2.111;;;;;1184.85,1034.73;5637.00;2;3.49
5650.00;18_2.112;5677.00;16_1.394;1179.97,1035.85;5651.00;3;3.36;;;;
5650.00;18_2.112;5677.00;16_1.394;;;;;1179.97,1035.85;5651.00;3;3.42
5650.00;16_1.394;5677.00;18_2.112;1179.97,1035.85;5651.00;2;3.36;;;;
5650.00;16_1.394;5677.00;18_2.112;;;;;1179.97,1035.85;5651.00;2;3.42
5658.00;18_2.102;5685.00;17_1.5;1182.26,1038.11;5659.00;3;3.03;;;;
5658.00;18_2.102;5685.00;17_1.5;;;;;1184.65,1034.98;5658.00;3;3.90
5658.00;17_1.5;5685.00;18_2.102;1182.26,1038.11;5659.00;2;3.03;;;;
5658.00;17_1.5;5685.00;18_2.102;;;;;1184.65,1034.98;5658.00;2;3.90
5663.00;18_2.104;5691.00;17_1.2;1182.11,1038.32;5665.00;3;2.83;;;;
5663.00;18_2.104;5691.00;17_1.2;;;;;1184.80,1034.78;5664.00;3;3.57
5663.00;17_1.2;5691.00;18_2.104;1182.11,1038.32;5665.00;2;2.83;;;;
5663.00;17_1.2;5691.00;18_2.104;;;;;1184.80,1034.78;5664.00;2;3.57
5677.00;18_2.109;5702.00;17_1.24;1173.39,1039.20;5679.00;3;3.34;;;;
5677.00;18_2.109;5702.00;17_1.24;;;;;1179.37,1031.36;5677.00;3;3.46
5677.00;17_1.24;5702.00;18_2.109;1173.39,1039.20;5679.00;2;3.34;;;;
5677.00;17_1.24;5702.00;18_2.109;;;;;1179.37,1031.36;5677.00;2;3.46
5729.00;18_2.116;5757.00;17_1.73;1180.39,1035.30;5731.00;3;2.62;;;;
5729.00;18_2.116;5757.00;17_1.73;;;;;1182.30,1032.79;5730.00;3;3.96
5729.00;17_1.73;5757.00;18_2.116;1180.39,1035.30;5731.00;2;2.62;;;;
5729.00;17_1.73;5757.00;18_2.116;;;;;1182.30,1032.79;5730.00;2;3.96
5737.00;20_2.0;5766.00;17_1.80;1184.99,1034.53;5738.00;3;2.05;;;;
5737.00;20_2.0;5766.00;17_1.80;;;;;1184.99,1034.53;5738.00;3;4.23
5737.00;17_1.80;5766.00;20_2.0;1184.99,1034.53;5738.00;2;2.05;;;;
5737.00;17_1.80;5766.00;20_2.0;;;;;1184.99,1034.53;5738.00;2;4.23
6000.00;21_2.0;6025.00;17_1.343;1184.85,1034.72;6001.00;3;2.87;;;;
6000.00;21_2.0;6025.00;17_1.343;;;;;1184.85,1034.72;6001.00;3;4.31
6000.00;17_1.343;6025.00;21_2.0;1184.85,1034.72;6001.00;2;2.87;;;;
6000.00;17_1.343;6025.00;21_2.0;;;;;1184.85,1034.72;6001.00;2;4.31
6052.00;18_1.28;6080.00;21_2.2;1184.47,1035.22;6053.00;2;2.99;;;;
6052.00;18_1.28;6080.00;21_2.2;;;;;1184.47,1035.22;6053.00;2;3.88
6052.00;21_2.2;6080.00;18_1.28;1184.47,1035.22;6053.00;3;2.99;;;;
6052.00;21_2.2;6080.00;18_1.28;;;;;1184.47,1035.22;6053.00;3;3.88
6111.00;21_2.5;6135.00;18_1.90;1174.05,1043.62;6113.00;3;3.51;;;;
6111.00;21_2.5;6135.00;18_1.90;;;;;1180.84,1034.70;6111.00;3;3.83
6111.00;18_1.90;6135.00;21_2.5;1174.05,1043.62;6113.00;2;3.51;;;;
6111.00;18_1.90;6135.00;21_2.5;;;;;1180.84,1034.70;6111.00;2;3.83
6199.00;18_1.179;6217.00;21_2.9;1177.46,1033.86;6199.00;2;3.56;;;;
6199.00;18_1.179;6217.00;21_2.9;;;;;1177.46,1033.86;6199.00;2;3.53
6199.00;21_2.9;6217.00;18_1.179;1177.46,1033.86;6199.00;3;3.56;;;;
6199.00;21_2.9;6217.00;18_1.179;;;;;1177.46,1033.86;6199.00;3;3.53
6916.00;24_2.1;6941.00;20_1.268;1179.54,1036.42;6917.00;3;3.28;;;;
6916.00;24_2.1;6941.00;20_1.268;;;;;1181.96,1033.23;6916.00;3;3.89
6916.00;20_1.268;6941.00;24_2.1;1179.54,1036.42;6917.00;2;3.28;;;;
6916.00;20_1.268;6941.00;24_2.1;;;;;1181.96,1033.23;6916.00;2;3.89
6933.00;24_2.4;6959.00;20_1.283;1182.31,1038.05;6935.00;3;2.79;;;;
6933.00;24_2.4;6959.00;20_1.283;;;;;1184.67,1034.96;6934.00;3;3.51
6933.00;20_1.283;6959.00;24_2.4;1182.31,1038.05;6935.00;2;2.79;;;;
6933.00;20_1.283;6959.00;24_2.4;;;;;1184.67,1034.96;6934.00;2;3.51
7010.00;24_2.13;7034.00;20_1.361;1177.61,1038.95;7011.00;3;3.51;;;;
7010.00;24_2.13;7034.00;20_1.361;;;;;1180.54,1035.10;7010.00;3;3.46
7010.00;20_1.361;7034.00;24_2.13;1177.61,1038.95;7011.00;2;3.51;;;;
7010.00;20_1.361;7034.00;24_2.13;;;;;1180.54,1035.10;7010.00;2;3.46
7106.00;24_2.23;7132.00;21_1.88;1177.45,1039.15;7108.00;3;2.99;;;;
7106.00;24_2.23;7132.00;21_1.88;;;;;1182.38,1032.68;7106.00;3;4.18
7106.00;21_1.88;7132.00;24_2.23;1177.45,1039.15;7108.00;2;2.99;;;;
7106.00;21_1.88;7132.00;24_2.23;;;;;1182.38,1032.68;7106.00;2;4.18
7163.00;24_2.31;7190.00;21_1.132;1179.73,1036.17;7164.00;3;3.18;;;;
7163.00;24_2.31;7190.00;21_1.132;;;;;1182.36,1032.72;7163.00;3;3.57
7163.00;21_1.132;7190.00;24_2.31;1179.73,1036.17;7164.00;2;3.18;;;;
7163.00;21_1.132;7190.00;24_2.31;;;;;1182.36,1032.72;7163.00;2;3.57
